,Alpha,Beta,r_star,w_star
0,0.0,1.0,0.006843072643075876,0.4938518435473971
1,9.5367431640625e-07,0.9999990463256836,0.012394529129099635,0.49385184354739714
2,1.430511474609375e-06,0.9999985694885254,0.01245819644362045,0.4938518435473972
3,1.6689300537109375e-06,0.9999983310699463,0.00966053004666284,0.49385184354739703
4,1.7881393432617188e-06,0.9999982118606567,0.00966053004666284,0.4938518435473971
5,1.8477439880371094e-06,0.999998152256012,0.00966053004666284,0.4938518435473971
6,1.862645149230957e-06,0.9999981373548508,0.00966053004666284,0.4938518435473971
7,1.8700957298278809e-06,0.9999981299042702,0.07447416247220931,0.49385184354739714
8,1.8738210201263428e-06,0.9999981261789799,0.07447416247220931,0.49385184354739714
9,1.8756836652755737e-06,0.9999981243163347,0.07447416247220931,0.49385184354739714
10,1.8761493265628815e-06,0.9999981238506734,0.07447416247220931,0.49385184354739714
11,1.876207534223795e-06,0.9999981237924658,0.07447416247220931,0.49385184354739714
12,1.8762366380542517e-06,0.999998123763362,0.07447416247220931,0.49385184354739714
13,1.87625118996948e-06,0.99999812374881,0.07447416247220931,0.49385184354739714
14,1.8762520994641818e-06,0.9999981237479005,0.07447416247220931,0.49385184354739714
15,1.8762523268378573e-06,0.9999981237476732,0.07447416247220931,0.49385184354739714
16,1.8762523836812761e-06,0.9999981237476163,0.07447416247220931,0.49385184354739714
17,1.8762523978921308e-06,0.9999981237476021,0.07447416247220931,0.49385184354739714
18,1.8762523981141754e-06,0.9999981237476019,0.07447416247220931,0.49385184354739714
19,1.8762523981280532e-06,0.9999981237476019,0.07447416247220931,0.49385184354739714
20,1.8762523981349921e-06,0.9999981237476019,0.07447416247220931,0.49385184354739714
21,1.8762523981384616e-06,0.9999981237476019,0.07447416247220931,0.49385184354739714
22,1.876252398139329e-06,0.9999981237476019,0.07447416247220931,0.49385184354739714
23,1.8762523981394373e-06,0.9999981237476019,0.07447416247220931,0.49385184354739714
24,1.8762523981394645e-06,0.9999981237476019,0.07447416247220931,0.49385184354739714
25,1.8762523981394712e-06,0.9999981237476019,0.07447416247220931,0.49385184354739714
26,1.8762523981394717e-06,0.9999981237476019,0.07447416247220931,0.49385184354739714
27,1.8762523981394717e-06,0.9999981237476019,0.07447416247220931,0.49385184354739714
28,1.8762523981394717e-06,0.9999981237476019,0.07447416247220931,0.49385184354739714
29,1.8762523981394717e-06,0.9999981237476019,0.07447416247220931,0.49385184354739714
30,1.8762523981394717e-06,0.9999981237476019,0.07447416247220931,0.49385184354739714
31,1.8762523981394717e-06,0.9999981237476019,0.07447416247220931,0.49385184354739714
32,1.8762523981394717e-06,0.9999981237476019,0.07447416247220931,0.49385184354739714
33,1.8762523981394717e-06,0.9999981237476019,0.07447416247220931,0.49385184354739714
34,1.8762523981394717e-06,0.9999981237476019,0.07447416247220931,0.49385184354739714
35,1.8762523981394717e-06,0.9999981237476019,0.07447416247220931,0.49385184354739714
36,1.8762523981394717e-06,0.9999981237476019,0.07447416247220931,0.49385184354739714
37,1.8762523981394717e-06,0.9999981237476019,0.07447416247220931,0.49385184354739714
38,1.8762523981394717e-06,0.9999981237476019,0.07447416247220931,0.49385184354739714
39,1.8762523981394717e-06,0.9999981237476019,0.07447416247220931,0.49385184354739714
40,1.8762523981394717e-06,0.9999981237476019,0.07447416247220931,0.49385184354739714
41,1.8762523981394717e-06,0.9999981237476019,0.07447416247220931,0.49385184354739714
42,1.8762523981394717e-06,0.9999981237476019,0.07447416247220931,0.49385184354739714
43,1.8762523981394717e-06,0.9999981237476019,0.07447416247220931,0.49385184354739714
44,1.8762523981394717e-06,0.9999981237476019,0.07447416247220931,0.49385184354739714
45,1.8762523981394717e-06,0.9999981237476019,0.07447416247220931,0.49385184354739714
46,1.8762523981394717e-06,0.9999981237476019,0.07447416247220931,0.49385184354739714
47,1.8762523981394717e-06,0.9999981237476019,0.07447416247220931,0.49385184354739714
48,1.8762523981394717e-06,0.9999981237476019,0.07447416247220931,0.49385184354739714
49,1.8762523981394717e-06,0.9999981237476019,0.07447416247220931,0.49385184354739714
50,1.8762523981394717e-06,0.9999981237476019,0.07447416247220931,0.49385184354739714
51,1.8762523981394717e-06,0.9999981237476019,0.07447416247220931,0.49385184354739714
52,1.8762523981394717e-06,0.9999981237476019,0.07447416247220931,0.49385184354739714
53,1.8762523981394717e-06,0.9999981237476019,0.07447416247220931,0.49385184354739714
54,1.8762523981394717e-06,0.9999981237476019,0.07447416247220931,0.49385184354739714
55,1.8762523981394717e-06,0.9999981237476019,0.07447416247220931,0.49385184354739714
56,1.8762523981394717e-06,0.9999981237476019,0.07447416247220931,0.49385184354739714
