Alpha,Beta,Gamma,r_star,w_star,h_star
0.0,0.0,1.0,0.9808813564387634,0.971490132022431,3.3322045079204745
0.0,0.1,0.9,0.7724847524915488,0.764934388565441,3.256709119265347
0.0,0.2,0.8,0.5482714994281506,0.5427383250707798,2.989136420760857
0.0,0.30000000000000004,0.7,0.4989352234002859,0.4938508876681061,2.9017293121600076
0.0,0.4,0.6,0.4989355869144713,0.4938514534660894,2.901724805292004
0.0,0.5,0.5,0.49893573330667246,0.49385184016727934,2.901737427439956
0.0,0.6000000000000001,0.3999999999999999,0.49893608920745436,0.4938513061382277,2.901167702627678
0.0,0.7000000000000001,0.29999999999999993,0.4989357630331119,0.49385183260885995,2.9017281853661387
0.0,0.8,0.19999999999999996,0.4989357037211992,0.49385161817328954,2.901685467665681
0.0,0.9,0.09999999999999998,0.49893636600803626,0.4938519196957988,2.901718118798416
0.0,1.0,0,0.4988928244600841,0.4938515437919923,0.6026064707131835
0.1,0.0,0.9,1.0300524481283555,1.020231429173564,3.328232807338617
0.1,0.1,0.8,0.7959064394328909,0.7881474743047504,3.273059655586677
0.1,0.2,0.7,0.5395184461198639,0.5340647979848853,2.974416131373127
0.1,0.30000000000000004,0.6,0.4989437736082897,0.4938524728877479,2.8830124036838414
0.1,0.4,0.5,0.4989360986204693,0.49385122600024334,2.9013792146931885
0.1,0.5,0.4,0.4989359879954015,0.49385205346958305,2.9017249517402735
0.1,0.6000000000000001,0.29999999999999993,0.49893521840170874,0.49385151647499087,2.9017152146189233
0.1,0.7000000000000001,0.19999999999999996,0.4989348738072736,0.49385060705977757,2.9012104262259295
0.1,0.8,0.09999999999999998,0.49893588947361217,0.49385176434419636,2.901739782857363
0.1,0.9,0,0.4988931035359369,0.4938517854875786,0.602901829984877
0.2,0.0,0.8,1.0946179947487948,1.0842343116659778,3.311272656251347
0.2,0.1,0.7,0.826494931628273,0.818464310910068,3.291302318140577
0.2,0.2,0.6,0.5295727985355525,0.5242090239012782,2.9572646952887296
0.2,0.30000000000000004,0.5,0.49893709263250446,0.4938519944950483,2.9016621850464523
0.2,0.4,0.3999999999999999,0.49893804010265136,0.49385182665170935,2.900940248428126
0.2,0.5,0.30000000000000004,0.4989358153392243,0.4938515243440053,2.901728553232516
0.2,0.6000000000000001,0.19999999999999996,0.49893789336845984,0.4938523640230692,2.901508519817853
0.2,0.7000000000000001,0.09999999999999987,0.4989362310813548,0.4938519302300797,2.9017388548946355
0.2,0.8,0,0.49889349458183324,0.4938518339725374,0.605107745483353
0.30000000000000004,0.0,0.7,1.179920354373564,1.1687977787497008,3.2690558544554014
0.30000000000000004,0.1,0.6,0.8674684326116211,0.8590749742161399,3.3103252304864594
0.30000000000000004,0.2,0.5,0.5169400445657452,0.5116914863771364,2.934867100170846
